Attention,Engagement,Surprise,Valence
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
97.34395,0.08029872,0.1967865,-0.2655182
97.79388,0.1028947,0.194244,-0.02793121
90.90498,0.1634943,0.1901668,-4.747467
91.93842,0.08591171,0.1959735,-0.4408798
94.57464,11.63889,0.2068146,-50.11347
